index;Heure;Jour;Mois;Année;Pression_au_niveau_mer;Variation_de_pression_en_3_heures;Type_de_tendance_barométrique;Direction_du_vent_moyen_10_mn;Vitesse_du vent_moyen_10_mn;Température;Point_de_rosée;Humidité;Visibilité_horizontale;Temps_présent;Pression_station;Rafales_sur_une_période;Periode_de_mesure_de_la_rafale;Précipitations_dans_la_dernière_heure;Précipitations_dans_les_3_dernières_heures;Température(°C);consommation;datehour;datemonth
84805;23;6;1;2013;101530.0;230.0;1.0;320.0;3.6;293.25;279.25;40.0;30000.0;2.0;101440.0;10.8;-10.0;0.0;0.0;20.100000000000023;22956.0;23;1
26250;2;7;1;2013;101860.0;10.0;1.0;360.0;2.6;292.75;283.95;57.0;60000.0;0.0;101770.0;3.6;-10.0;0.0;0.0;19.600000000000023;16375.0;2;1
41871;5;7;1;2013;101770.0;-100.0;6.0;10.0;2.6;290.85;283.75;63.0;40000.0;2.0;101670.0;6.2;-10.0;0.0;0.0;17.700000000000045;15916.0;5;1
104129;8;7;1;2013;101800.0;40.0;3.0;10.0;4.1;292.85;284.35;58.0;40000.0;2.0;101710.0;6.2;-10.0;0.0;0.0;19.700000000000045;21045.0;8;1
82084;11;7;1;2013;101820.0;20.0;0.0;90.0;4.1;298.65;284.75;42.0;40000.0;2.0;101730.0;5.7;-10.0;0.0;0.0;25.5;24049.0;11;1
26352;14;7;1;2013;101820.0;0.0;0.0;170.0;3.6;295.05;288.15;65.0;30000.0;2.0;101730.0;8.7;-10.0;0.0;0.0;21.90000000000004;24196.0;14;1
80008;17;7;1;2013;101760.0;-60.0;7.0;160.0;3.6;292.35;289.25;82.0;3500.0;40.0;101670.0;5.7;-10.0;0.0;0.0;19.200000000000045;22692.0;17;1
4644;20;7;1;2013;101800.0;40.0;3.0;150.0;3.6;291.05;290.25;95.0;700.0;47.0;101710.0;5.1;-10.0;0.0;0.0;17.900000000000034;21100.0;20;1
80023;23;7;1;2013;101870.0;70.0;1.0;120.0;3.6;291.15;289.35;89.0;12000.0;3.0;101780.0;4.6;-10.0;0.0;0.0;18.0;22223.0;23;1
67137;2;8;1;2013;101670.0;-60.0;8.0;20.0;2.6;292.95;289.95;83.0;19000.0;0.0;101580.0;3.1;-10.0;0.0;0.0;19.80000000000001;18801.0;2;1
49608;5;8;1;2013;101610.0;-60.0;7.0;10.0;2.1;291.85;288.55;81.0;30000.0;2.0;101520.0;3.1;-10.0;0.0;0.0;18.700000000000045;17933.0;5;1
67154;8;8;1;2013;101690.0;80.0;3.0;30.0;2.6;293.65;289.05;75.0;30000.0;2.0;101600.0;3.6;-10.0;0.0;0.0;20.5;22866.0;8;1
80631;11;8;1;2013;101770.0;80.0;1.0;140.0;2.1;300.45;290.95;56.0;20000.0;2.0;101680.0;4.1;-10.0;0.0;0.0;27.30000000000001;27148.0;11;1
3506;14;8;1;2013;101740.0;-30.0;8.0;140.0;3.6;300.55;294.15;68.0;20000.0;2.0;101650.0;5.1;-10.0;0.0;0.0;27.40000000000004;27414.0;14;1
67174;17;8;1;2013;101680.0;-60.0;7.0;160.0;3.6;301.15;292.95;61.0;40000.0;2.0;101590.0;6.2;-10.0;0.0;0.0;28.0;26167.0;17;1
49637;20;8;1;2013;101630.0;-50.0;6.0;160.0;1.5;300.15;290.65;56.0;40000.0;2.0;101540.0;3.1;-10.0;0.0;0.0;27.0;24400.0;20;1
49642;23;8;1;2013;101730.0;100.0;3.0;20.0;1.5;295.75;290.85;74.0;40000.0;2.0;101640.0;3.1;-10.0;0.0;0.0;22.600000000000023;23952.0;23;1
49162;2;9;1;2013;102060.0;40.0;1.0;340.0;3.1;294.55;283.65;50.0;60000.0;0.0;101970.0;3.6;-10.0;0.0;0.0;21.40000000000004;16922.0;2;1
49169;5;9;1;2013;102010.0;-50.0;6.0;300.0;4.1;294.35;283.25;49.0;40000.0;2.0;101920.0;5.1;-10.0;0.0;0.0;21.200000000000045;15130.0;5;1
4168;8;9;1;2013;102070.0;60.0;3.0;300.0;3.6;293.25;283.65;54.0;70000.0;2.0;101980.0;5.1;-10.0;0.0;0.0;20.100000000000023;16380.0;8;1
4175;11;9;1;2013;102110.0;40.0;1.0;10.0;7.7;299.75;284.65;39.0;70000.0;2.0;102020.0;12.9;-10.0;0.0;0.0;26.600000000000023;20199.0;11;1
49191;14;9;1;2013;102020.0;-90.0;8.0;20.0;5.7;302.85;283.95;31.0;70000.0;2.0;101930.0;9.8;-10.0;0.0;0.0;29.700000000000045;19269.0;14;1
80278;17;9;1;2013;101910.0;-110.0;6.0;190.0;2.6;303.55;285.45;33.0;70000.0;2.0;101820.0;5.7;-10.0;0.0;0.0;30.40000000000004;18421.0;17;1
80289;20;9;1;2013;101930.0;20.0;3.0;20.0;4.6;300.95;282.75;32.0;60000.0;2.0;101840.0;10.8;-10.0;0.0;0.0;27.80000000000001;20142.0;20;1
